N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
60,55,44,23.004459,82.320763,7.840207,263.964248,rice
74,35,40,26.491096,80.158363,6.980401,242.864034,rice
78,42,42,20.130175,81.604873,7.628473,262.717340,rice
69,37,42,23.512662,83.699564,6.834403,251.699402,rice
69,55,38,22.712748,82.639832,5.614600,271.280929,rice
94,53,40,25.093862,84.004012,6.553164,238.572695,rice
89,54,38,21.040316,85.003148,7.414844,225.655537,rice
68,58,38,26.491096,80.158363,6.980401,242.864034,rice
91,46,45,20.879744,82.002744,6.502985,202.935536,rice
82,50,40,21.770462,80.319644,7.038096,226.655537,rice
72,47,44,23.004459,82.320763,7.840207,263.964248,rice
88,39,42,26.491096,80.158363,6.980401,242.864034,rice
80,44,42,20.130175,81.604873,7.628473,262.717340,rice
20,67,20,23.004459,16.919438,5.000000,103.136703,maize
13,76,29,22.712748,65.094070,5.868776,96.696455,maize
16,63,31,19.574197,65.087200,6.766887,91.434398,maize
10,50,25,20.887679,65.006500,6.500000,88.000000,maize
18,58,28,23.500000,67.000000,6.200000,95.000000,maize
22,55,30,24.000000,68.000000,6.800000,100.000000,maize
15,60,27,21.000000,66.000000,6.500000,93.000000,maize
17,52,26,22.000000,64.000000,6.300000,89.000000,maize
21,65,32,25.000000,70.000000,6.700000,105.000000,maize
12,48,24,19.000000,63.000000,6.100000,87.000000,maize
19,70,35,23.000000,69.000000,6.900000,98.000000,maize
14,55,29,20.000000,65.000000,6.400000,91.000000,maize
23,62,31,24.500000,67.500000,6.600000,97.000000,maize
11,45,22,18.500000,62.000000,5.900000,85.000000,maize
24,72,38,26.000000,71.000000,7.000000,110.000000,maize
94,59,49,28.000000,90.000000,6.500000,121.388799,chickpea
89,54,49,29.000000,91.000000,6.700000,78.000000,chickpea
92,58,51,28.500000,89.500000,6.600000,115.000000,chickpea
88,53,47,27.500000,88.000000,6.400000,125.000000,chickpea
95,61,52,29.500000,92.000000,6.800000,110.000000,chickpea
91,57,50,28.000000,90.500000,6.550000,118.000000,chickpea
93,60,48,28.800000,91.200000,6.650000,120.000000,chickpea
87,52,46,27.000000,87.500000,6.300000,130.000000,chickpea
96,62,53,30.000000,92.500000,6.900000,108.000000,chickpea
90,56,49,28.200000,90.200000,6.520000,122.000000,chickpea
24,18,28,26.000000,65.000000,6.500000,85.000000,kidneybeans
28,19,30,27.000000,66.000000,6.800000,90.000000,kidneybeans
22,17,27,25.500000,63.000000,6.300000,82.000000,kidneybeans
30,20,32,27.500000,67.000000,6.900000,95.000000,kidneybeans
20,16,25,25.000000,62.000000,6.200000,80.000000,kidneybeans
26,18,29,26.500000,64.500000,6.600000,87.000000,kidneybeans
32,21,33,28.000000,68.000000,7.000000,100.000000,kidneybeans
18,15,23,24.500000,61.000000,6.100000,78.000000,kidneybeans
34,22,35,28.500000,69.000000,7.100000,105.000000,kidneybeans
25,18,28,26.200000,64.800000,6.520000,86.000000,kidneybeans
76,17,26,36.000000,66.651294,6.489917,172.191432,pigeonpeas
68,22,31,34.000000,65.000000,6.300000,160.000000,pigeonpeas
74,19,28,35.000000,67.000000,6.500000,168.000000,pigeonpeas
80,25,34,37.000000,68.000000,6.700000,175.000000,pigeonpeas
70,15,24,33.000000,64.000000,6.200000,155.000000,pigeonpeas
78,20,30,35.500000,66.500000,6.450000,165.000000,pigeonpeas
72,18,27,34.500000,65.500000,6.350000,158.000000,pigeonpeas
82,26,35,37.500000,69.000000,6.800000,178.000000,pigeonpeas
66,14,22,32.500000,63.000000,6.100000,150.000000,pigeonpeas
75,19,29,35.200000,66.800000,6.480000,170.000000,pigeonpeas
40,40,40,24.000000,78.000000,6.200000,111.000000,mothbeans
38,38,42,23.500000,76.000000,6.000000,108.000000,mothbeans
42,42,38,24.500000,79.000000,6.400000,115.000000,mothbeans
36,36,36,23.000000,75.000000,5.800000,105.000000,mothbeans
44,44,44,25.000000,80.000000,6.600000,118.000000,mothbeans
39,39,39,23.800000,77.000000,6.100000,110.000000,mothbeans
41,41,41,24.200000,78.500000,6.300000,112.000000,mothbeans
35,35,35,22.500000,74.000000,5.700000,102.000000,mothbeans
46,46,46,25.500000,81.000000,6.800000,122.000000,mothbeans
37,37,37,23.200000,75.800000,5.900000,106.000000,mothbeans
20,100,27,29.000000,50.000000,5.820000,50.010000,mungbean
22,95,30,30.000000,52.000000,5.900000,55.000000,mungbean
18,98,25,28.500000,49.000000,5.750000,48.000000,mungbean
24,102,32,30.500000,53.000000,5.950000,58.000000,mungbean
16,92,22,28.000000,48.000000,5.700000,45.000000,mungbean
21,99,28,29.500000,51.000000,5.850000,52.000000,mungbean
19,96,26,29.200000,50.500000,5.800000,50.500000,mungbean
25,105,34,31.000000,54.000000,6.000000,62.000000,mungbean
15,90,20,27.500000,47.000000,5.650000,43.000000,mungbean
23,101,29,30.200000,51.800000,5.880000,53.000000,mungbean
0,20,0,40.000000,50.000000,3.500000,21.620000,blackgram
5,22,8,39.000000,48.000000,3.800000,25.000000,blackgram
2,18,5,41.000000,52.000000,3.600000,20.000000,blackgram
8,25,12,38.500000,47.000000,4.000000,28.000000,blackgram
1,19,3,40.500000,51.000000,3.550000,22.000000,blackgram
6,21,9,39.500000,49.000000,3.850000,26.000000,blackgram
3,17,6,41.500000,53.000000,3.650000,19.000000,blackgram
10,27,15,38.000000,46.000000,4.200000,30.000000,blackgram
0,16,1,42.000000,54.000000,3.400000,18.000000,blackgram
7,23,10,39.800000,49.500000,3.900000,27.000000,blackgram
20,20,20,27.000000,82.000000,5.700000,150.000000,lentil
18,22,18,26.000000,80.000000,5.500000,145.000000,lentil
22,18,22,28.000000,83.000000,5.900000,155.000000,lentil
16,24,16,25.500000,79.000000,5.300000,140.000000,lentil
24,16,24,28.500000,84.000000,6.100000,160.000000,lentil
19,21,19,27.200000,81.500000,5.750000,152.000000,lentil
21,19,21,27.800000,82.500000,5.850000,148.000000,lentil
14,26,14,25.000000,78.000000,5.100000,135.000000,lentil
26,14,26,29.000000,85.000000,6.300000,165.000000,lentil
20,20,20,27.100000,81.800000,5.720000,151.000000,lentil
20,110,200,24.000000,80.000000,6.000000,100.000000,pomegranate
22,105,195,23.500000,78.000000,5.900000,95.000000,pomegranate
