crop,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_matter_tons_ha,lime_if_acidic,notes,source
rice,120,60,60,5,Yes if pH<5.5,"Split N: 50% basal + 25% tillering + 25% panicle initiation","ICAR-IRRI Guidelines 2022"
maize,150,75,75,4,No,"Split N: 1/3 basal + 1/3 knee-high + 1/3 tasseling","ICAR Maize Production Manual 2021"
wheat,120,60,40,3,Yes if pH<6.0,"Apply all P&K as basal; split N in 2 doses","ICAR Wheat Research Directorate 2022"
chickpea,20,60,40,3,Yes if pH<6.5,"Minimal N due to N-fixation; Rhizobium inoculation recommended","ICAR Pulse Research 2021"
lentil,20,50,40,2,Yes if pH<6.0,"Bradyrhizobium inoculation; reduce N with inoculation","ICAR-IIPR 2021"
cotton,150,75,75,5,No,"4-5 split doses of N; micronutrients Zn@25 kg/ha","CICR Technical Bulletin 2022"
sugarcane,250,100,120,10,No,"Split N in 3-4 doses; earthing up after each split","ICAR-SBI Coimbatore 2022"
groundnut,25,60,75,4,Yes if pH<5.5,"Gypsum 500 kg/ha at pegging stage; foliar spray","ICAR-DGR Junagadh 2021"
soybean,30,80,60,4,No,"Bradyrhizobium inoculation; foliar micronutrient spray","ICAR-IISR 2022"
sunflower,100,60,60,3,No,"Boron 2 kg/ha; split N in 3 doses","ICAR Oilseed Research 2021"
tomato,200,150,100,10,No,"Fertigation recommended; 6-8 splits","ICAR-IIVR Varanasi 2022"
potato,200,150,200,10,No,"Apply K in 2 splits; hilling after first split","ICAR-CPRI Shimla 2022"
onion,100,60,60,5,Yes if pH<6.0,"Split N in 3 doses; foliar spray of boron","ICAR Vegetable Research 2021"
banana,200,60,300,20,No,"12 splits over crop cycle; bunch development critical","ICAR-NRCB Trichy 2022"
mango,500,250,500,15,No,"Per tree dose; foliar spray pre-flowering","ICAR-CISH Lucknow 2022"
coconut,500,320,1200,15,No,"Per palm/year; split in 4 doses","ICAR-CPCRI Kasaragod 2022"
coffee,200,100,200,10,No,"Split in 4 doses aligning with rainfall","Coffee Board of India 2022"
pigeonpeas,20,50,25,3,No,"Rhizobium inoculation beneficial","ICAR-IIPR 2021"
blackgram,20,50,25,2,Yes if pH<5.5,"Short duration; Rhizobium inoculant recommended","ICAR-IIPR 2021"
mungbean,20,50,25,2,No,"Rhizobium inoculation; harvest in 60-65 days","ICAR-IIPR 2021"
